target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
CA3c Pyramidal,CA1 Axo Axonic,15,35,0.09079467915993339,-1.401849466654872e-07,0.037685560456260474,-1.2728047255545286e-08,0.0034216483705884425,0.0034216483705884425,21.97467519660615,1.9951835841196015
CA3c Pyramidal,CA1 Radiatum,15,56,0.08711729929031697,-2.9031030117548764e-08,0.035703350112952774,-2.5291049394567015e-09,0.003110379437457079,0.003110379437457079,20.956120687923164,1.8256406379338055
CA3c Pyramidal,CA1 Quadrilaminar,15,54,0.08505002828519063,-7.053025007256216e-09,0.035086016435345944,-5.998599763632981e-10,0.002984066690240836,0.002984066690240836,20.723958012494734,1.7625732151437803
CA3c Pyramidal,CA1 Radial Trilaminar,15,60,0.08230084005435519,-8.587730112821333e-08,0.03330544557606113,-7.0677740244527815e-09,0.0027410661492944387,0.0027410661492944387,17.822001030439974,1.4667656562547937
CA3 Pyramidal,CA1 Perforant Path Associated,14,52,0.027222325073900832,-1.3424087264031038e-06,0.09378908025545651,-3.654348673218649e-08,0.0025531568310962114,0.0025531568310962114,72.00409801632738,1.9601189628534819
EC LI II Multipolar Pyramidal,EC LII III Pyramidal Tripolar,62,67,0.017179656954867856,0.13846012212379857,1.8163845895753347e-07,0.002378697400015969,3.1204864147012696e-09,0.002378697400015969,0.29581707113949074,0.005082035803570192
EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,67,62,0.002510397022464301,0.9174347342166191,1.8163845895753347e-07,0.002303125425082728,4.5598464653199616e-10,0.002303125425082728,0.47242347852948346,0.001185970493842643
CA3 Pyramidal,CA1 R Receiving Apical Targeting,14,55,0.03280866113624137,-4.909499023587293e-07,0.06524013166915775,-1.6107408981358335e-08,0.0021404413724171656,0.0021404413724171656,51.56585961019464,1.6918068141498714
CA3c Pyramidal,CA1 Pyramidal,15,33,0.05097104839052498,0.0005649834270698607,0.035976625737726906,2.879779760102251e-05,0.0018337663314054846,0.0018337663314054846,201.55335954324948,10.273386042551849
CA3 Pyramidal,CA1 OR LM,14,51,0.03781997628074056,-2.759218272774796e-07,0.045754562419098005,-1.0435356962972871e-08,0.00173043646542595,0.00173043646542595,36.48974200716803,1.3800411772014374
CA3c Pyramidal,CA2 Basket,15,29,0.0587501904738451,-6.11442390798054e-07,0.028813884214031294,-3.592235692316891e-08,0.001692821185865657,0.001692821185865657,18.288999105921718,1.0744821810488838
