mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,cell_index,cell_type,region,ei,loading_rank,loading_real,loading_imag,loading_magnitude,energy_fraction
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,8,CA1 LMR (I),CA1,i,15,0.005311385001496461,-0.08037432144242224,0.08054962667799234,0.006488242357963935
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,28,CA2 Basket (I),CA2,i,16,0.004192341735586167,-0.06344044390635378,0.0635788144924326,0.004042265652263158
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,22,CA1 Radiatum (I),CA1,i,17,0.00404840128770003,-0.06126227082650602,0.06139589057751684,0.0037694553798064212
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,72,LEC LVI Multipolar Pyramidal (E),LEC,e,18,0.004026388326667302,-0.06092916057269359,0.06106205377360151,0.0037285744110502022
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,84,SUB CA1 Projecting Pyramidal (E),SUB,e,19,-0.0038215242354660336,0.05782906289316532,0.057955194440049325,0.0033588045625839243
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,57,DG Mossy (E),DG,e,20,0.0036808824321203355,-0.05570080642010526,0.05582229600553109,0.0031161287313291324
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,19,CA1 Quadrilaminar (I),CA1,i,21,0.003641033051960883,-0.05509778726609651,0.05521796160042037,0.0030490232833054985
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,60,DG Total Molecular Layer (E),DG,i,22,0.003451301806749458,-0.05222668677422902,0.05234059892258304,0.0027395382955747007
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,29,CA2 Bistratified (I),CA2,i,23,0.003443400595315854,-0.05210712200771895,0.05222077337216608,0.0027270091715871298
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,55,DG MOLAX (I),DG,i,24,0.0033905107681152743,-0.051306768809587795,0.05141867451567764,0.002643880088949197
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,79,MEC LIII Superficial Trilayered Interneuron (I),MEC,i,25,-0.0032148942659973373,0.04864925910395656,0.04875536848907454,0.0023770859565054423
1,0.37005968990180027,-1.1102230246251565e-16,0.37005968990180027,66,EC LIII Stellate (E),EC,e,26,-0.0032082202993179666,0.04854826556968394,0.04865415467679523,0.002367226767313515
