null_id,spectral_radius,max_real_eigenvalue,chain_count,divergent_count,convergent_count,reciprocal_count,chain_score_sum,chain_abs_score_sum,divergent_score_sum,divergent_abs_score_sum,convergent_score_sum,convergent_abs_score_sum,reciprocal_score_sum,reciprocal_abs_score_sum
85,0.7659843028233524,0.7659843028233524,28429,14651,14388,186,388.23128502784874,465.1309850558631,2740.541748699564,2740.541748699564,1595.2658285713424,1654.0036701682766,0.2955900071267226,0.33833550486069414
86,0.8076760604055804,0.8076760604055804,28134,14647,14307,179,267.34238365411466,334.3179715917833,4630.88587966531,4630.88587966531,1022.700195686925,1094.785643272071,0.3420959691437433,0.4800400476347728
87,0.7365560817010107,0.7365560817010107,28271,14614,14508,171,386.6570400522967,459.5723563818257,2024.6625717530858,2024.6625717530858,1101.4517445437705,1159.0123587275675,0.04795102576845493,0.11376621693460227
88,0.751588251224982,0.7380639591462228,28396,14553,14302,212,387.07260063374633,474.78058044920346,2791.693605369584,2791.693605369584,897.0002295487409,950.4243219266241,0.6733169961028155,0.750229223270201
89,0.7666548359661142,0.7666548359661142,28157,14566,14373,181,351.8095332581018,425.02531059286446,2420.0634513477853,2420.0634513477853,1481.3095729496154,1534.3476457714555,0.13657556818191885,1.182903811354975
90,0.9932854782537808,0.9932854782537808,28123,14571,14375,180,341.4160005401128,421.21492062246716,1977.830470179382,1977.830470179382,2447.9790453534793,2518.749502659258,0.2201375315574858,0.307940568120236
91,0.9717924486546983,0.8721581636214196,28202,14711,14313,183,378.8821976408338,471.7258119319839,2817.2817248431147,2817.2817248431147,847.9414769664016,914.2996597751102,0.18350099994748534,0.3322121100650106
92,0.750670991066242,0.7109048743629937,28085,14642,14352,179,387.7629269805167,466.4998867364486,4263.813717373531,4263.813717373531,1312.5123772716763,1393.125038578398,0.0012506576955467245,0.09889429181986276
93,0.9101827058777513,0.9101827058777513,28205,14657,14590,173,427.4437935349655,499.479056045506,2818.8533302852948,2818.8533302852948,1828.762135883875,1887.5817245360672,0.25415128757772415,0.4123680297751935
94,1.1384756894825516,1.1384756894825516,28102,14948,14345,195,373.7008572106622,470.32557625733693,3453.2313824188245,3453.2313824188245,1430.4568532781984,1489.35767419245,0.37167523988677714,0.41682657315267446
95,0.8884771999974435,0.8884771999974435,28449,14509,14357,184,274.13966178665623,384.31550700660597,2977.155306806979,2977.155306806979,2913.0954572304368,2982.0596858201316,0.3949821193196863,0.5368883181990313
96,0.8163411386252689,0.7461685378335332,28119,14547,14469,171,417.73307946903054,506.6947962588646,2866.838332217325,2866.838332217325,1738.2828688743311,1799.0100994780723,0.17400505131877692,0.23742054901686477
97,0.7128908859241002,0.7128908859241002,28226,14613,14370,199,420.21189672586274,515.4185352372443,3204.0152957276478,3204.0152957276478,1921.3814014643954,1978.0689473610682,0.29930884470888813,0.4066486620399745
98,0.7374667212622247,0.7374667212622247,28260,14491,14699,171,407.18287431943907,480.28325414294346,2928.7563248241104,2928.7563248241104,1115.0577903884798,1183.5626189910624,0.5007183403007266,0.8960368374273504
99,0.7982317859248195,0.7982317859248195,28396,14678,14409,185,383.4393337674835,461.5440505653611,2633.404301144592,2633.404301144592,1281.6183523961583,1341.6325021986993,0.047251724859948066,0.25897723088078317
100,0.9946449297713607,0.9946449297713607,28378,14762,14517,171,399.7732773749396,473.8740724834033,4149.881522552982,4149.881522552982,1848.7652600304918,1915.3764983448223,0.28181492107681827,0.31923889238919456
101,0.8498083231262299,0.8498083231262299,28425,14582,14489,180,349.0427383703502,425.1202054566064,2454.6309343656894,2454.6309343656894,1339.3565508735169,1402.5115904918819,0.6146046717277169,0.6727142144346209
102,0.7661206030586097,0.7622021425584002,28342,14661,14393,187,393.2900998082339,460.3709483995599,2414.963244732262,2414.963244732262,1584.1948785094705,1660.5021314662258,-0.09404753211044087,0.3492712191222225
103,0.8919956714034746,0.8919956714034746,28384,14715,14488,182,347.36313973885416,426.29739975071567,4686.4729598250005,4686.4729598250005,1536.7472319026926,1608.888889004157,0.748193417941056,0.7807337030883104
104,0.8586120333274514,0.8586120333274514,28379,14564,14636,203,379.8578809620502,465.80522176744154,3345.2459126044637,3345.2459126044637,3975.505329130213,4045.089254031205,0.017576459387130008,0.32222116449358507
105,0.7073227182878775,0.7073227182878775,28258,14595,14456,175,368.1331682026842,444.9911767419756,2876.7103748123345,2876.7103748123345,1392.5443489680797,1457.585880559564,0.11656572083018939,0.4840116873413709
106,0.6952161485873335,0.6952161485873335,28493,14667,14481,184,516.817673447999,585.2827623694433,2827.3138674848333,2827.3138674848333,2761.171973034292,2831.5193722918452,0.19927137617791327,0.5140886410010204
107,0.8698277291828285,0.8698277291828285,28185,14704,14433,191,481.12012445754686,558.4365941883153,3913.860126777925,3913.860126777925,1018.9864447863931,1087.5729215745212,-0.022185161294914848,0.2666872379687021
108,0.9069291583029473,0.9069291583029473,28328,14863,14473,178,323.5453772802252,405.759417724322,3955.6017294985477,3955.6017294985477,1534.130488759412,1590.8437039058458,0.1498607765794757,0.22381994375498826
109,0.8335057620321145,0.8335057620321145,28111,14643,14372,186,350.1610067797338,432.4716777842208,3854.16640806507,3854.16640806507,1082.5831289764903,1157.5660868318757,0.01840692456970832,0.23190107203671617
110,1.0619029623083762,0.6942608180399606,28127,14630,14281,188,586.2142594785502,658.7366961379852,2470.030348717236,2470.030348717236,2166.728383599467,2232.933752735636,-0.5280727416122415,1.1220689245378275
111,1.0670198279687892,1.0670198279687892,28149,14686,14332,187,412.28988770721594,490.88067255381156,2446.351196782342,2446.351196782342,1488.1104038459482,1543.3902406936966,0.2097738248123108,0.7213664883147227
112,0.8705173571516495,0.8705173571516495,28161,14628,14440,186,333.6139456721429,410.53436052712294,3078.5593551295387,3078.5593551295387,1864.685821337902,1937.0461888174757,0.6606548752168157,0.7868727964320995
113,0.7396585495524799,0.7396585495524799,28347,14771,14510,200,458.71412844829814,544.7644551889996,2511.715778807235,2511.715778807235,2167.8605466622025,2228.244475762028,0.30725577997635595,0.3595788093050654
114,0.9305575533429262,0.9305575533429262,28287,14579,14430,168,420.36634946926694,502.887875531962,2730.899069132651,2730.899069132651,1422.0546703362172,1476.4109817297617,1.0376523204492387,1.1819283168288013
115,1.280696632540066,1.280696632540066,28321,14463,14393,191,301.7184941687702,390.77673798904067,2559.9775458356435,2559.9775458356435,1256.571255933645,1325.0203435750825,1.1488756806268938,1.181380791052829
116,0.7767822724293149,0.7767822724293149,28042,14695,14399,177,367.6948221524874,443.17432278120157,4574.289449463461,4574.289449463461,1356.6405388304725,1424.2001657530923,0.19616675369549239,0.2368533339178262
117,0.7334180148587257,0.7334180148587257,27963,14628,14364,179,365.7735227310487,439.7008069033073,2239.143412797336,2239.143412797336,1298.1613928889328,1375.8243278992718,0.4404067281432687,0.45089293175064254
118,0.8576410549263996,0.8576410549263996,28176,14757,14581,182,494.7080557056814,565.6361007312134,3107.4689989220665,3107.4689989220665,1378.0455558100607,1451.366439006794,0.004960459313957846,0.43135972061913846
119,2.152128851741624,2.152128851741624,28198,14660,14392,181,480.49201149406775,570.7649639015913,3317.8427093412506,3317.8427093412506,1028.387583461981,1092.8063638121519,3.6976978245350254,3.781245322602491
