table_type,method,seed,terminal,count,probability
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,CA3 Pyramidal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LII III Pyramidal Tripolar,30,0.015
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,CA2 Pyramidal,79,0.0395
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,CA3c Pyramidal,56,0.028
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LII Oblique Pyramidal,24,0.012
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,LEC LVI Multipolar Pyramidal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LV Superficial Pyramidal,25,0.0125
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LIV VI Deep Multipolar Principal,32,0.016
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,DG Semilunar Granule,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LIII Pyramidal Stellate,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,LEC LIII Complex Pyramidal,29,0.0145
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LIII Bipolar Complex Pyramidal,22,0.011
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LV Pyramidal,19,0.0095
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LV Deep Pyramidal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LIII Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LII Stellate,26,0.013
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,MEC LIII Complex Pyramidal,45,0.0225
terminal_distribution,weighted_random_walk_ensemble,DG Hilar Ectopic Granule,EC LI II Pyramidal Fan,1,0.0005
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,CA3c Pyramidal,80,0.04
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,CA1 Radiatum Giant,686,0.343
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,MEC LIII Complex Pyramidal,37,0.0185
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,DG Hilar Ectopic Granule,89,0.0445
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,MEC LII Stellate,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,LEC LIII Complex Pyramidal,24,0.012
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,MEC LII III Pyramidal Multiform,26,0.013
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,CA3 Pyramidal,46,0.023
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,CA2 Pyramidal,68,0.034
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,MEC LV VI Pyramidal Polymorphic,110,0.055
terminal_distribution,weighted_random_walk_ensemble,DG Mossy,SUB CA1 Projecting Pyramidal,30,0.015
