pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
CA3 Pyramidal,CA1 Bistratified,e,i,139888.41086861314,0.08922,12480.844017697664
CA3 Pyramidal,CA1 Ivy,e,i,69076.63514988721,0.0438,3025.55661956506
CA3 Pyramidal,CA1 Oriens Bistratified,e,i,476142.37045373034,0.01811,8622.938328917056
CA3 Pyramidal,CA1 O LMR,e,i,673425.8315303042,0.06706,45159.93626242219
CA3 Pyramidal,CA1 Recurrent O LM,e,i,2081164.3484694457,0.03251,67658.65296874168
CA3 Granule,CA3 Pyramidal,e,e,76.58690108091,0.0123,0.942018883295193
CA3 Granule,CA3c Pyramidal,e,e,133.22495805696,0.01712,2.280811281935155
CA3 Granule,CA3 LMR Targeting,e,i,53.255096133239995,0.06811,3.627204597634976
CA3 Granule,CA3 Lucidum ORAX,e,i,80.26403533702398,0.31002,24.883456235184177
CA3 Granule,CA3 Spiny Lucidum,e,i,72.92673555817505,0.03588,2.616611271827321
CA3 Granule,CA3 Axo Axonic,e,i,68.727183686112,0.11589,7.96479331738352
CA3 Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57.562403784192014,0.12381,7.126801212520814
CA3 Granule,CA3 Mossy Fiber Associated,e,i,62.42631801930974,0.10855,6.776376820996072
CA3 Granule,CA3 Basket,e,i,58.49439487262401,0.1496,8.750761472944552
CA3 Granule,CA3 Basket CCK+,e,i,21.868798608480002,0.08623,1.8857465040092307
CA3c Pyramidal,DG Granule,e,e,160418.7566737335,0.04463,7159.489110348726
CA3c Pyramidal,DG Semilunar Granule,e,e,87352.46675373509,0.00401,350.2833916824777
CA3c Pyramidal,DG Mossy,e,e,33393.42821681123,0.029,968.4094182875258
CA3c Pyramidal,DG Total Molecular Layer,e,i,72103.63782101168,0.0744,5364.510653883269
CA3c Pyramidal,DG MOLAX,e,i,108931.58216187557,0.0744,8104.509712843542
CA3c Pyramidal,DG HICAP,e,i,82111.44264625497,0.21477,17635.07453713618
CA3c Pyramidal,DG Axo Axonic,e,i,143794.61716747435,0.27069,38923.76492106363
CA3c Pyramidal,DG HIPP,e,i,20095.79671391292,0.01581,317.71454604696333
CA3c Pyramidal,DG HIPROM,e,i,164558.27937797178,0.03192,5252.700277744859
CA3c Pyramidal,DG AIPRIM,e,i,108136.77620246162,0.2501,27045.00772823565
CA3c Pyramidal,DG Basket,e,i,96808.27901181996,0.09135,8843.436287729754
CA3c Pyramidal,DG Hilar Ectopic Granule,e,e,180998.38531761212,0.02539,4595.5490032141715
CA3c Pyramidal,CA3 Pyramidal,e,e,31089.11555366892,0.0123,382.3961213101277
CA3c Pyramidal,CA3 Granule,e,e,5108.88681916704,0.07366,376.32060309984416
CA3c Pyramidal,CA3c Pyramidal,e,e,37375.237707134394,0.01712,639.8640695461409
CA3c Pyramidal,CA3 LMR Targeting,e,i,4152.834730963475,0.06811,282.84957352592227
CA3c Pyramidal,CA3 O LM,e,i,15971.373086796002,0.17804,2843.54326437316
CA3c Pyramidal,CA3 Lucidum ORAX,e,i,12467.0614729374,0.31002,3865.0383978400528
CA3c Pyramidal,CA3 Trilaminar,e,i,40886.40713210424,0.01016,415.40589646217916
CA3c Pyramidal,CA3 Axo Axonic,e,i,19320.7649099472,0.11589,2239.083445413781
CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,19935.286052407922,0.12381,2468.187766148625
CA3c Pyramidal,CA3 Mossy Fiber Associated,e,i,9490.240453686438,0.10855,1030.1656012476628
CA3c Pyramidal,CA3 Basket,e,i,19491.962611968,0.1496,2915.997606750413
CA3c Pyramidal,CA3 Basket CCK+,e,i,8301.174242138999,0.08623,715.8102548996459
CA3c Pyramidal,CA3 Horizontal Axo Axonic,e,i,16555.0318658361,0.07827,1295.7623441389917
CA3c Pyramidal,CA2 Pyramidal,e,e,1662664.1129644967,0.01469,24424.535819448458
CA3c Pyramidal,CA2 Bistratified,e,i,1005433.8114323212,0.09557,96089.30935858694
CA3c Pyramidal,CA2 Basket,e,i,1119782.6687443724,0.08812,98675.24876975411
CA3c Pyramidal,CA2 Wide Arbor Basket,e,i,541851.3914313504,0.06561,35550.869791810896
CA3c Pyramidal,CA2 SP SR,e,i,636442.6318356859,0.02724,17336.697291204084
CA3c Pyramidal,CA1 Pyramidal,e,e,2946974.5185329346,0.02905,85609.60976338176
CA3c Pyramidal,CA1 Quadrilaminar,e,i,1908198.67785086,0.07486,142847.75302391537
CA3c Pyramidal,CA1 LMR,e,i,826291.8395654251,0.41516,343043.32011398184
CA3c Pyramidal,CA1 Perforant Path Associated,e,i,1334059.6116201745,0.57998,773727.8935474688
CA3c Pyramidal,CA1 Radial Trilaminar,e,i,1107880.820651227,0.12477,138230.2899926536
CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,2069167.2803931967,0.04399,91022.66866449673
CA3c Pyramidal,CA1 Back Projection,e,i,126018.48160114558,0.19378,24419.861364669992
